Topic,Count,Name,Representation,Representative_Docs
-1,342,-1_machine_equipment_parking_broken,"['machine', 'equipment', 'parking', 'broken', 'staff', 'bad', 'issue', 'topic', 'room', 'trainer']","['equipment broken changing room dirty need', 'bad music broken equipment poor customer service', 'broken machine poor customer service broken locker topic']"
0,248,0_membership_customer_service_fee,"['membership', 'customer', 'service', 'fee', 'bad', 'issue', 'cancellation', 'email', 'access', 'price']","['bad customer service', 'bad customer service', 'customer service bad membership cancelled']"
1,85,1_shower_water_cold_room,"['shower', 'water', 'cold', 'room', 'locker', 'hot', 'temperature', 'need', 'warm', 'facility']","['shower cold staff', 'shower cold', 'shower bad']"
2,81,2_toilet_smell_smelly_room,"['toilet', 'smell', 'smelly', 'room', 'changing', 'dirty', 'broken', 'urine', 'management', 'equipment']","['changing room dirty smell bad cleaning poor', 'tragic changing room smell toilet', 'aircon working smell lady changing room toilet working']"
3,79,3_equipment_space_staff_weight,"['equipment', 'space', 'staff', 'weight', 'cardio', 'machine', 'bad', 'treadmill', 'broken', 'bench']","['space good maintenance bad broken equipment', 'messy cardio machine space weight area', 'broken equipment bad staff']"
4,61,4_staff_member_bad_experience,"['staff', 'member', 'bad', 'experience', 'rude', 'manager', 'management', 'treatment', 'unpleasant', 'complaint']","['bad experience bad manager unfair treatment', 'bad staff', 'environment bad staff bad management bad']"
5,52,5_air_conditioning_problem_aircon,"['air', 'conditioning', 'problem', 'aircon', 'working', 'bad', 'heat', 'unbearable', 'machine', 'equipment']","['air conditioning service', 'air conditioning machine', 'air conditioning']"
6,52,6_cleaning_hygiene_station_cleanliness,"['cleaning', 'hygiene', 'station', 'cleanliness', 'equipment', 'staff', 'dust', 'dirty', 'removed', 'clean']","['equipment staff hygiene', 'staff cleanliness hygiene dirty environment', 'lack cleaning station response hygiene concern']"
7,46,7_class_instructor_cancelled_bike,"['class', 'instructor', 'cancelled', 'bike', 'inconsistent', 'missed', 'studio', 'spin', 'need', 'move']","['class', 'class', 'class']"
8,36,8_equipment_rusty_suitable_good,"['equipment', 'rusty', 'suitable', 'good', 'better', 'waiting', 'woman', 'old', 'condition', 'time']","['equipment', 'equipment', 'equipment']"
